============ Start of Season ============
1972-10-10 | w: NYK | L: SEA
1972-10-10 | w: CHI | L: PHL
1972-10-10 | w: BLT | L: CLE
1972-10-10 | w: ATL | L: BUF
1972-10-11 | w: BOS | L: DET
1972-10-11 | w: SEA | L: PHL
1972-10-11 | w: LAL | L: KCK
1972-10-13 | w: BOS | L: LAL
1972-10-13 | w: DET | L: CHI
1972-10-13 | w: BLT | L: ATL
1972-10-13 | w: MIL | L: PHX
1972-10-13 | w: SEA | L: POR
1972-10-13 | w: BUF | L: PHL
1972-10-13 | w: HOU | L: CLE
1972-10-14 | w: MIL | L: GOS
1972-10-14 | w: BOS | L: CHI
1972-10-14 | w: PHX | L: POR
1972-10-14 | w: KCK | L: DET
1972-10-14 | w: HOU | L: BUF
1972-10-14 | w: NYK | L: LAL
1972-10-15 | w: ATL | L: NYK
1972-10-15 | w: PHX | L: BLT
1972-10-15 | w: LAL | L: CLE
1972-10-16 | w: GOS | L: BLT
1972-10-17 | w: BOS | L: ATL
1972-10-17 | w: NYK | L: HOU
1972-10-17 | w: POR | L: MIL
1972-10-17 | w: BUF | L: PHL
1972-10-19 | w: BLT | L: KCK
1972-10-20 | w: LAL | L: POR
1972-10-20 | w: BOS | L: BUF
1972-10-20 | w: GOS | L: SEA
1972-10-20 | w: HOU | L: ATL
1972-10-20 | w: MIL | L: DET
1972-10-20 | w: NYK | L: CLE
1972-10-21 | w: NYK | L: PHL
1972-10-21 | w: DET | L: CLE
1972-10-21 | w: BOS | L: BLT
1972-10-21 | w: CHI | L: HOU
1972-10-21 | w: PHX | L: SEA
1972-10-21 | w: GOS | L: POR
1972-10-21 | w: KCK | L: ATL
1972-10-21 | w: MIL | L: BUF
1972-10-22 | w: LAL | L: CHI
1972-10-22 | w: MIL | L: CLE
1972-10-22 | w: SEA | L: POR
1972-10-23 | w: BOS | L: PHL
1972-10-24 | w: NYK | L: CLE
1972-10-24 | w: CHI | L: PHX
1972-10-24 | w: ATL | L: POR
1972-10-24 | w: LAL | L: KCK
